marca,nombre_producto,precio,cantidad,precio_unidad,unidad,seccion
EL REY,Canela astilla El Rey chapeta x11g,2690,11,244.55,gr,despensa
REFISAL,Sal Light en sodio Refisal x500g + salero x120g,9790,620,15.79,gr,despensa
CORONA,Chocolate Corona endulzado naturalmente x166.4g,7790,208,37.45,gr,despensa
MAGGI,Caldo de gallina Maggi cubos x24und x264g,11990,264,45.42,gr,despensa
CASTELLANO,Arroz Castellano Premium blanco x1000g,10990,1000,10.99,gr,despensa
LA MUNECA,Pasta La Muneca paquetón x 6 und x 1500g,9990,1500,6.66,gr,despensa
VAN CAMPS,Atún Van Camps Lomitos Agua x 160g,8990,130,69.15,gr,despensa
MATIZ,Café Matiz Ámbar 05 balanceado x340g,21490,425,50.56,gr,despensa
ZENU,Arvejas zenu zanahoria lata x2undx300g c-upr.esp.,8190,600,13.65,gr,despensa
PAN,Harina PAN maíz amarillo x1000g,5990,1000,5.99,gr,despensa
DONAREPA,Harina Doñarepa precocida maíz amarillo x1000g,4990,1000,4.99,gr,despensa
DORIA,Lasagna doria x400g,9990,400,24.98,gr,despensa
RICOSTILLA,Caldo con costilla Ricostilla cubos x12und x126g,5590,126,44.37,gr,despensa
DIANA,Harina Diana maíz blanco x1000g,5790,1000,5.79,gr,despensa
MILO,Alimento Milo en polvo bajo en azúcar bolsa x750g,32990,937,35.19,gr,despensa
MAIZENA,Mezcla Maizena natilla arequipe x600g,12390,857,14.46,gr,despensa
JUAN VALDEZ,Café Juan Valdez Liofilizado clásico soluble x190g,35890,190,188.89,gr,despensa
INCAUCA,Azúcar Incauca morena x0.5kg,2490,500,4.98,gr,despensa
DORIA,Pasta Clásica Cabello de Ángel Doria x 500 g.,4890,500,9.78,gr,despensa
JUAN VALDEZ,Café Juan Valdez Liofilizado soluble avellana x95g,28990,95,305.16,gr,despensa
NESCAFE,Café Nescafé Tradición instantáneo x85g,14990,106,141.08,gr,despensa
FRUCO,Pasta de tomate Fruco x200g,7190,286,25.17,gr,despensa
DORIA,Pasta Macarrón con Salsa de Queso Doria x 210 g.,4690,210,22.33,gr,despensa
INSTACREM,Crema no láctea Instacrem refil x430g,13990,430,32.53,gr,despensa
CHOCAPIC,Cereal Chocapic econopack x380g,14390,380,37.87,gr,despensa
MAIZENA,Mezcla Maizena natilla maracuyá x300g,7590,429,17.71,gr,despensa
DIANA,Frijol Diana cargamanto rojo x500g,11990,500,23.98,gr,despensa
VAN CAMPS,Atún Van Camps Lomitos Aceite x 160g,9190,130,70.69,gr,despensa
ALAMAR,Atun alamar bocados aceite x140g,6990,140,49.93,gr,despensa
HAZ DE OROS,Harina de trigo Haz De Oros con polvo para hornear x1000g,6990,1000,6.99,gr,despensa
EL REY,Clavo pepa El Rey bolsa x9g,1550,9,172.22,gr,despensa
HAZ DE OROS,Harina de trigo Harina Haz De Oros x1000g,4990,1000,4.99,gr,despensa
FRUCO,Salsa de tomate Fruco x 600g,11590,857,13.52,gr,despensa
ADEREZOS,Salsa de soya Aderezos 1100 g,10590,1375,7.7,gr,despensa
