marca,nombre_producto,precio,cantidad,precio_unidad,unidad,seccion
FRESCAMPO,Leche En Polvo Entera FRESCAMPO 380 Gr,9900,380,26.05,gr,lacteos-huevos-y-refrigerados
DEJA-MU,Yogurt Entero Skyr Natural DEJAMU 375 Ml,13400,375,35.73,ML,lacteos-huevos-y-refrigerados
BODAI,Bebida De Coco Imita Yog Limonada Coco BODAI 140 Gr,7500,140,53.57,gr,lacteos-huevos-y-refrigerados
FRESCAMPO,Arepitas Con Queso FRESCAMPO 500 Gr,8720,500,17.44,gr,lacteos-huevos-y-refrigerados
SM,HAMBURGUESA DE LENTEJA 240 GR 240 Gr,9800,240,40.83,gr,lacteos-huevos-y-refrigerados
SUPERIOR,Mantequilla Con Sal X 200 Gr,8600,200,43,gr,lacteos-huevos-y-refrigerados
ALQUERIA,Deslactosada Slim X 3 ALQUERIA 540 Ml,6200,540,11.48,ML,lacteos-huevos-y-refrigerados
YOX,ALIM LACTEO FERM MELOCOTON YOX 95 Ml,2600,95,27.37,ML,lacteos-huevos-y-refrigerados
PORCHI,Cena Pavo Pernil + Salsa PORCHI 760 Gr,45000,760,59.21,gr,lacteos-huevos-y-refrigerados
PASCO,Queso Light Bloque PASCO 450 Gr,29100,450,64.67,gr,lacteos-huevos-y-refrigerados
CENTURION,Mix De Quesos CENTURION 400 Gr,27900,400,69.75,gr,lacteos-huevos-y-refrigerados
ACTIGEST,Alimento Lácteo Pitaya ACTIGEST 1750 Gr,26200,1750,14.97,gr,lacteos-huevos-y-refrigerados
COLANTA,PACK YOGUR GRIEGO SURTIDO COLANTA 934.23 Ml,23700,934,25.37,ML,lacteos-huevos-y-refrigerados
PIETRAN,Salchicha Veggie PIETRAN 225 Gr,16200,225,72,gr,lacteos-huevos-y-refrigerados
SM,MORCILLA VEGETARIANA X6 X300GR 300 Gr,14700,300,49,gr,lacteos-huevos-y-refrigerados
YOGO YOGO,Alim Lacteo Ferm Premio Fresa YOGO YOGO 150 Gr,3600,150,24,gr,lacteos-huevos-y-refrigerados
RAMA,Mezcla Aceite Veg Sab Mantequi RAMA 227 Gr,10300,227,45.37,gr,lacteos-huevos-y-refrigerados
LA MARIA,Cuajada Pasteurizada LA MARIA 450 Gr,10100,450,22.44,gr,lacteos-huevos-y-refrigerados
PAN,Arepas Artesanas X 10 Unds,8500,950,8.95,gr,lacteos-huevos-y-refrigerados
KIKES,Huevo A Rojo 12Und Pet KIKES 12 Und,9200,12,766.67,Und,lacteos-huevos-y-refrigerados
YOX,ALIMENTO LACTEO FRESA YOX 95 Ml,2500,95,26.32,ML,lacteos-huevos-y-refrigerados
DEJA-MU,YOGURT GRIEGO CON DULC DE MORA DEJAMU 150 Ml,5100,150,34,ML,lacteos-huevos-y-refrigerados
CAMPI,Esparcible Mesa Wow Sal CAMPI 220 Gr,5800,220,26.36,gr,lacteos-huevos-y-refrigerados
ALQUERIA,Leche Deslactosada Tetra ALQUERIA 180 Ml,2200,180,12.22,ML,lacteos-huevos-y-refrigerados
ALQUERIA,Alim Lact Cereal Milo ALQUERIA 170 Gr,3700,170,21.76,gr,lacteos-huevos-y-refrigerados
KLAREN S,Suero Con Valvula KLAREN S 200 Gr,5400,200,27,gr,lacteos-huevos-y-refrigerados
MEMBERS SELECTION,Leche Almendra Sin Endulzante,0,null,0,null,lacteos-huevos-y-refrigerados
KLIM,Leche Entera En Polvo Fortific KLIM 1200 Gr,58100,1200,48.42,gr,lacteos-huevos-y-refrigerados
SKETOS,YOGURT GRIEGO NATURAL ENTERO SKETOS 900 Gr,40300,900,44.78,gr,lacteos-huevos-y-refrigerados
PASCO,BEBIDA LACTEA KEFIR MORA PASCO 971 Ml,23400,971,24.1,ML,lacteos-huevos-y-refrigerados
RODEO,Leche En Polvo RODEO 500 Gr,15760,500,31.52,gr,lacteos-huevos-y-refrigerados
BON YURT,ALIM LACTEOx6 UNID CHOCOG+BLAC BON YURT 1035 Gr,23400,1035,22.61,gr,lacteos-huevos-y-refrigerados
BORDEN MARCA EXCLUSIVA,QUESO MEX.CUATRO QUESOS RALLAD BORDEN MARCA EXCLUSIVA 226 Gr,19900,226,88.05,gr,lacteos-huevos-y-refrigerados
ALPINA,Leche Descremada+Fibrax1100Ml ALPINA 1100 Ml,7200,1099,6.55,ML,lacteos-huevos-y-refrigerados
PORCHI,JAMON SANDWICH + QUESO PORCHI 500 Gr,16800,500,33.6,gr,lacteos-huevos-y-refrigerados
REGENERIS,Alimento Lacteo Sabor A Pitaya Y Cereales Sixpack,19100,900,21.22,gr,lacteos-huevos-y-refrigerados
LA MARIA,Queso Campesino Casero LA MARIA 450 Gr,11800,450,26.22,gr,lacteos-huevos-y-refrigerados
PORCHI,Chorizo Santarrosano PORCHI 360 Gr,9600,360,26.67,gr,lacteos-huevos-y-refrigerados
VIOLIFE,Alim Bloque Orig Aceite Coco Violife 200 Gr,14100,200,70.5,gr,lacteos-huevos-y-refrigerados
PORCHI,Morcilla PORCHI 250 Gr,5000,250,20,gr,lacteos-huevos-y-refrigerados
CARULLA,QUESO HOLSTEIN TAJADO CARULLA 200 Gr,12850,200,64.25,gr,lacteos-huevos-y-refrigerados
AVICOLA DE ORIENTE,Huevo 12 Und Blanco Aa AVICOLA DE ORIENTE 12 Und,9400,12,783.33,Und,lacteos-huevos-y-refrigerados
ALPINA,Leche Condensada Azucarada Semides ALPINA 420 Gr,12900,420,30.71,gr,lacteos-huevos-y-refrigerados
LA MARIA,Queso Tipo Sandwich 20 Tajad LA MARIA 400 Gr,14800,400,37,gr,lacteos-huevos-y-refrigerados
ALPINA,Queso Pera Fresco X 3 Unds ALPINA 114 Gr,9700,114,85.09,gr,lacteos-huevos-y-refrigerados
DONA PAISA,AREPA 5UNDS PLATO QSO D/CREM DONA PAISA 450 Gramo,10300,450,22.89,gr,lacteos-huevos-y-refrigerados
BON YURT,Alim Lacteo Gomitas Und BON YURT 108 Gr,3200,108,29.63,gr,lacteos-huevos-y-refrigerados
AVINAL,Huevo 6Und Aa Rojo AVINAL 6 Und,4900,6,816.67,Und,lacteos-huevos-y-refrigerados
BEYOND MEAT,Carne Molida Vegetal BEYOND MEAT 453 Gr,63600,453,140.4,gr,lacteos-huevos-y-refrigerados
COLANTA,Leche Polvo Entera COLANTA 900 Gr,33800,900,37.56,gr,lacteos-huevos-y-refrigerados
AVINAL,Huevo Finquero 15Und Rojo Aa AVINAL 15 Und,11900,15,793.33,Und,lacteos-huevos-y-refrigerados
ABERDEEN,Chorizo Argentino Coctel ABERDEEN 500 Gr,28200,500,56.4,gr,lacteos-huevos-y-refrigerados
SM,ALBONDIGA DE LENTEJA Y QUINUA 360 Gr,16700,360,46.39,gr,lacteos-huevos-y-refrigerados
LA LECHERA,Of Leche Cond + Crem Leche Gt Tarro LA LECHERA 606 Gr,20100,606,33.17,gr,lacteos-huevos-y-refrigerados
CARULLA,Queso Pera CARULLA 400 Gr,20700,400,51.75,gr,lacteos-huevos-y-refrigerados
SARY,Arepa 4und Qso Extrarell Moza SARY 640 Gr,19100,640,29.84,gr,lacteos-huevos-y-refrigerados
OLIVETTO,Esparcible Garbanzo Clasico OLIVETTO 220 Gr,13600,220,61.82,gr,lacteos-huevos-y-refrigerados
SAN MARTIN,YOGURT GRIEGO NATURAL SAN MARTIN 210 Ml,8400,210,40,ML,lacteos-huevos-y-refrigerados
BODAI,Bebida De Coco Imita Yog Mango Maracuya BODAI 140 Gr,8200,140,58.57,gr,lacteos-huevos-y-refrigerados
OLIVETTO,Esparcible Pimentón Ahumado OLIVETTO 220 Gr,15700,220,71.36,gr,lacteos-huevos-y-refrigerados
GRANSOLI,AREPA 6 UNDS RELLENA DE QUESO GRANSOLI 540 Gr,12400,540,22.96,gr,lacteos-huevos-y-refrigerados
DONA PAISA,Arepa Extradelgada Con Queso Y Margarina Dona Paisa Paquete X 10 Und,10600,500,21.2,gr,lacteos-huevos-y-refrigerados
ALPINA,Bebid Leche Avena Fresa Banano ALPINA 1000 Gr,11500,1000,11.5,gr,lacteos-huevos-y-refrigerados
ZORBA,YOGURT GRIEGO ENTERO C/FRESA ZORBA 128.694 Ml,7100,129,55.17,ML,lacteos-huevos-y-refrigerados
CAMPI,ESPARCIBLE SAL MARINA CAMPI 250 Gr,7700,250,30.8,gr,lacteos-huevos-y-refrigerados
ALPINA,Yogurt Griego Con Cama Fresa ALPINA 141 Ml,5800,141,41.13,ML,lacteos-huevos-y-refrigerados
SANTA REYES,Huevo 12Und Rojo A SANTA REYES 12 Und,10600,12,883.33,Und,lacteos-huevos-y-refrigerados
BODAI,Bebida De Coco Imita Yog Arándanos BODAI 140 Gr,7500,140,53.57,gr,lacteos-huevos-y-refrigerados
DONA PAISA,AREPA 1OUNDS ANTIOQ BCA S/SAL DONA PAISA 1000 Gr,7800,1000,7.8,gr,lacteos-huevos-y-refrigerados
ALPINA,LECHE SABORIZADA CHOCOLATE ALPINA 200 Ml,3300,200,16.5,ML,lacteos-huevos-y-refrigerados
FINESSE,Beb C/Leche Y Avena FINESSE 280 Gr,4700,280,16.79,gr,lacteos-huevos-y-refrigerados
COLANTA,YOGUR GRIEGO VAINILLA COLANTA 116.779 Ml,3100,117,26.55,ML,lacteos-huevos-y-refrigerados
SAN MARTIN,Yogurt Griego Colageno SAN MARTIN 1048 Ml,41900,1048,39.98,ML,lacteos-huevos-y-refrigerados
LA MARIA,Queso Costeño Entero LA MARIA 400 Gr,14400,400,36,gr,lacteos-huevos-y-refrigerados
EL DIA QUE ME QUIERAS,MORCILLA ARGENTINA EL DIA QUE ME QUIERAS 500 Gr,24500,500,49,gr,lacteos-huevos-y-refrigerados
COLOUR GREEK,YOGURT GRIEGO BLUEBERRY COLOUR GREEK 1000 Gr,26300,1000,26.3,gr,lacteos-huevos-y-refrigerados
PASCO,YOGHURT GRIEGO FRESA 0% GRASA PASCO 164.25 Ml,8050,164,49.01,ML,lacteos-huevos-y-refrigerados
PASCO,BEBIDA LACTEA KEFIR FRESA PASCO 971 Ml,23100,971,23.79,ML,lacteos-huevos-y-refrigerados
EL ZARZAL,Queso Redondo Fresco EL ZARZAL 400 Gr,13300,400,33.25,gr,lacteos-huevos-y-refrigerados
DONA LUCHA,AREPA 4 UNDS CHOCOLO C QUESO DONA LUCHA 400 Gr,13700,400,34.25,gr,lacteos-huevos-y-refrigerados
TAEQ,Yogurt Griego Melocoton X3 TAEQ 429 Ml,15400,429,35.9,ML,lacteos-huevos-y-refrigerados
SM,Chorizo Crudo Parrillero 500 Gr,13500,500,27,gr,lacteos-huevos-y-refrigerados
GLORIA,YOGURT VAINILLA BOTELLA GLORIA 1000 Ml,12200,1000,12.2,ML,lacteos-huevos-y-refrigerados
GALEON,Arepa De Maiz Amarillo Paquete X 5 Unds X 440 Gr,3100,440,7.05,gr,lacteos-huevos-y-refrigerados
BON YURT,Alim Lac C/Mini Masmelos Und BON YURT 93 Gr,3300,93,35.48,gr,lacteos-huevos-y-refrigerados
AVICOLA DE ORIENTE,Huevo 6Und Rojo Aa AVICOLA DE ORIENTE 6 Und,4700,6,783.33,Und,lacteos-huevos-y-refrigerados
KRAFT,Kraft Mayonesa 2 Unidades,0,null,0,null,lacteos-huevos-y-refrigerados
BEYOND MEAT,Salchicha Vegetal Beyond Sausage 4 Und,59900,400,149.75,gr,lacteos-huevos-y-refrigerados
MEMBERS SELECTION,Mantequilla De Maní Cremosa 40 Oz Member's Selection,0,null,0,null,lacteos-huevos-y-refrigerados
DEL VECCHIO,Queso 6 Unds Butirro DEL VECCHIO 420 Gr,28200,420,67.14,gr,lacteos-huevos-y-refrigerados
PORCHI,Morcilla PORCHI 450 Gr,8500,450,18.89,gr,lacteos-huevos-y-refrigerados
HUEVOS ORO,Huevo Campesino Rojo Aa HUEVOS ORO 30 Und,25000,30,833.33,Und,lacteos-huevos-y-refrigerados
LA FLORIDA,Queso Doble Crema 16 Tajadas LA FLORIDA 400 Gr,18500,400,46.25,gr,lacteos-huevos-y-refrigerados
CHORINANO'S PREMIUM,CHORIZO SANTARROSANO PREMIUM CHORINANOS PREMIUM 450 Gr,19000,450,42.22,gr,lacteos-huevos-y-refrigerados
LA CAJONERA,Arepas 12 Unds Cajoneritas LA CAJONERA 300 Gr,14300,300,47.67,gr,lacteos-huevos-y-refrigerados
KLIM,Leche En Polvo Forticrece KLIM 325 Gr,15300,325,47.08,gr,lacteos-huevos-y-refrigerados
DON MAIZ,Arepa Maiz Semilla De Chia Rellena Queso DON MAIZ 380 Gr,15700,380,41.32,gr,lacteos-huevos-y-refrigerados
FRESCAMPO,Leche Entera Uht Bolsa FRESCAMPO 900 Ml,3800,900,4.22,ML,lacteos-huevos-y-refrigerados
SANTA ANITA,Huevo12Und Rojo Aaa SANTA ANITA 12 Und,10900,12,908.33,Und,lacteos-huevos-y-refrigerados
ALQUERIA,Cremosito Fortikids 12 Unds ALQUERIA 1140 Gr,14600,1140,12.81,gr,lacteos-huevos-y-refrigerados
TAEQ,Yogurt Griego Granola Proteina TAEQ 144 Ml,5200,144,36.11,ML,lacteos-huevos-y-refrigerados
COLANTA,CHORIZO COCTEL COLANTA 300 Gr,14100,300,47,gr,lacteos-huevos-y-refrigerados
BODAI,Bebida De Coco Imita Yog Natural BODAI 140 Gr,7500,140,53.57,gr,lacteos-huevos-y-refrigerados
ALPINA,Yogurt Griego Mora Y Arándano ALPINA 141 Ml,5800,141,41.13,ML,lacteos-huevos-y-refrigerados
SANTA ANITA,Huevo Granja 6U St Anita Rjoaa SANTA ANITA 6 Und,4900,6,816.67,Und,lacteos-huevos-y-refrigerados
PORCHI,Chorizo De Cerdo PORCHI 500 Gr,13900,500,27.8,gr,lacteos-huevos-y-refrigerados
SAN MARTIN,Yogurt Cremoso Griego Natural SAN MARTIN 1048 Ml,37400,1048,35.69,ML,lacteos-huevos-y-refrigerados
PORCHI,Chorizo De La Casa PORCHI 900 Gr,21500,900,23.89,gr,lacteos-huevos-y-refrigerados
PORCHI,Chorizo Precocido PORCHI 1000 Gr,18900,1000,18.9,gr,lacteos-huevos-y-refrigerados
COLOUR GREEK,YOGURT GRIEGO NATURAL COLOUR GREEK 945 Ml,34400,945,36.4,ML,lacteos-huevos-y-refrigerados
BODAI,Beb Coco Imita Yog Piña Fliar BODAI 500 Gr,24100,500,48.2,gr,lacteos-huevos-y-refrigerados
CUNIT,BUTIFARRA CARIBE CUNIT 500 Gramo,11600,500,23.2,gr,lacteos-huevos-y-refrigerados
RIVER CHEESE,Queso Pera Light Entero RIVER CHEESE 500 Gr,26200,500,52.4,gr,lacteos-huevos-y-refrigerados
SM,Albondiga De Frijol Vegana 300 Gr,14200,300,47.33,gr,lacteos-huevos-y-refrigerados
JAPPI,Burger Vegetal Carnica JAPPI 200 Gr,21500,200,107.5,gr,lacteos-huevos-y-refrigerados
SANTA REYES,Huevo 30Und Rojo A SANTA REYES 30 Und,22800,30,760,Und,lacteos-huevos-y-refrigerados
SANTA ANITA,Huevo12Und Rojo Aaa SANTA ANITA 12 Und,10900,12,908.33,Und,lacteos-huevos-y-refrigerados
ALQUERIA,Cremosito Fortikids 12 Unds ALQUERIA 1140 Gr,14600,1140,12.81,gr,lacteos-huevos-y-refrigerados
TAEQ,Yogurt Griego Granola Proteina TAEQ 144 Ml,5200,144,36.11,ML,lacteos-huevos-y-refrigerados
COLANTA,CHORIZO COCTEL COLANTA 300 Gr,14100,300,47,gr,lacteos-huevos-y-refrigerados
BODAI,Bebida De Coco Imita Yog Natural BODAI 140 Gr,7500,140,53.57,gr,lacteos-huevos-y-refrigerados
ALPINA,Yogurt Griego Mora Y Arándano ALPINA 141 Ml,5800,141,41.13,ML,lacteos-huevos-y-refrigerados
ALPINA,Yogurt Griego Mora Arándano Con Cereal ALPINA 150 Ml,6300,150,42,ML,lacteos-huevos-y-refrigerados
ALQUERIA,Alimento Lacteo Cereal Flips ALQUERIA 170 Gr,3700,170,21.76,gr,lacteos-huevos-y-refrigerados
SM,Huevo 6Und Rojo Aa 6 Und,5900,6,983.33,Und,lacteos-huevos-y-refrigerados
SANTA ANITA,Huevo Granja 6U St Anita Rjoaa SANTA ANITA 6 Und,4900,6,816.67,Und,lacteos-huevos-y-refrigerados
PORCHI,Chorizo De Cerdo PORCHI 500 Gr,13900,500,27.8,gr,lacteos-huevos-y-refrigerados
SAN MARTIN,Yogurt Cremoso Griego Natural SAN MARTIN 1048 Ml,37400,1048,35.69,ML,lacteos-huevos-y-refrigerados
PORCHI,Chorizo De La Casa PORCHI 900 Gr,21500,900,23.89,gr,lacteos-huevos-y-refrigerados
PORCHI,Chorizo Precocido PORCHI 1000 Gr,18900,1000,18.9,gr,lacteos-huevos-y-refrigerados
COLOUR GREEK,YOGURT GRIEGO NATURAL COLOUR GREEK 945 Ml,34400,945,36.4,ML,lacteos-huevos-y-refrigerados
BODAI,Beb Coco Imita Yog Piña Fliar BODAI 500 Gr,24100,500,48.2,gr,lacteos-huevos-y-refrigerados
CUNIT,BUTIFARRA CARIBE CUNIT 500 Gramo,11600,500,23.2,gr,lacteos-huevos-y-refrigerados
RIVER CHEESE,Queso Pera Light Entero RIVER CHEESE 500 Gr,26200,500,52.4,gr,lacteos-huevos-y-refrigerados
SM,Albondiga De Frijol Vegana 300 Gr,14200,300,47.33,gr,lacteos-huevos-y-refrigerados
JAPPI,Burger Vegetal Carnica JAPPI 200 Gr,21500,200,107.5,gr,lacteos-huevos-y-refrigerados
SANTA REYES,Huevo 30Und Rojo A SANTA REYES 30 Und,22800,30,760,Und,lacteos-huevos-y-refrigerados
CHORINANO'S PREMIUM,CHORIZO SANTARROSANO PICANTE CHORINANOS PREMIUM 450 Gr,18800,450,41.78,gr,lacteos-huevos-y-refrigerados
ALPINA,Leche Botella Entera Chocolate ALPINA 300 Ml,4500,300,15,ML,lacteos-huevos-y-refrigerados
MONTEFRIO,Hamburguesa Mixta Res Cerdo Precocida MONTEFRIO 450 Gr,15500,450,34.44,gr,lacteos-huevos-y-refrigerados
AVICOLA DE ORIENTE,Huevo 12Und Rojo Aa AVICOLA DE ORIENTE 12 Und,9400,12,783.33,Und,lacteos-huevos-y-refrigerados
PORCHI,Choricito PORCHI 250 Gr,16000,250,64,gr,lacteos-huevos-y-refrigerados
COLANTA,Morcilla COLANTA 450 Gr,9300,450,20.67,gr,lacteos-huevos-y-refrigerados
PASCO,MANTEQUILLA CAMPESINA ARTESANA PASCO 225 Gr,14700,225,65.33,gr,lacteos-huevos-y-refrigerados
BODAI,Bebida De Coco Imita Yog Piña BODAI 140 Gr,7500,140,53.57,gr,lacteos-huevos-y-refrigerados
SM,HAMBURGUESA DE QUINUA 200 Gr,11200,200,56,gr,lacteos-huevos-y-refrigerados
SKETOS,Queso Cottage Natural Duopack SKETOS 220 Gr,9400,220,42.73,gr,lacteos-huevos-y-refrigerados
DEJA-MU,Yogurt Griego Ciruela DEJAMU 310 Ml,10000,310,32.26,ML,lacteos-huevos-y-refrigerados
ALQUERIA,Alimento Lácteo Cuchareable M&Ms 2 Unds ALQUERIA 200 Gr,5400,200,27,gr,lacteos-huevos-y-refrigerados
ZORBA,YOGURT GRIEGO COCO VAINILLA ZORBA 128.694 Ml,7800,129,60.61,ML,lacteos-huevos-y-refrigerados
TAEQ,Yogurt Griego Frutos Tropicales TAEQ 143 Ml,4900,143,34.27,ML,lacteos-huevos-y-refrigerados
SANTA REYES,Huevo 6Und Blanco A SANTA REYES 6 Und,5300,6,883.33,Und,lacteos-huevos-y-refrigerados
AVINAL,Huevo 6Und Rojo A AVINAL 6 Und,4800,6,800,Und,lacteos-huevos-y-refrigerados
DOGGER,Carne Hamburguesa DOGGER 360 Gr,24200,360,67.22,gr,lacteos-huevos-y-refrigerados
ZENU,Chorizo Ternera ZENU 1078 Gr,37500,1078,34.79,gr,lacteos-huevos-y-refrigerados
EL ZARZAL,Queso Campesino Semiduro EL ZARZAL 450 Gr,16000,450,35.56,gr,lacteos-huevos-y-refrigerados
CHORINANO'S PREMIUM,SANTARROSANO EDICION ESPECIAL CHORINANOS PREMIUM 450 Gr,18800,450,41.78,gr,lacteos-huevos-y-refrigerados
PORCHI,Chorizo Antioqueño PORCHI 500 Gr,14400,500,28.8,gr,lacteos-huevos-y-refrigerados
COLANTA,QUESO MONTERREY JACK COLANTA 475 Gr,29000,475,61.05,gr,lacteos-huevos-y-refrigerados
COLANTA,Lech Uht Semides Tetr Edg Sixp COLANTA 6000 Ml,35400,6000,5.9,ML,lacteos-huevos-y-refrigerados
CAMPO REAL,Queso Paipa Rallado CAMPO REAL 250 Gr,32400,250,129.6,gr,lacteos-huevos-y-refrigerados
KLIM,Alimento Lacteo 3+ KLIM 500 Gr,29600,500,59.2,gr,lacteos-huevos-y-refrigerados
KLIM,Alimento Lacteo 1+ KLIM 500 Gr,26800,500,53.6,gr,lacteos-huevos-y-refrigerados
FRESCAMPO,Leche Entera UHT Paquete Max FRESCAMPO 6600 Ml,27000,6601,4.09,ML,lacteos-huevos-y-refrigerados
REGENERIS,Yogurt Trozos De Fresa En Garrafa X 1750 G,25100,1750,14.34,gr,lacteos-huevos-y-refrigerados
SANTA REYES,Huevos Santa Reyecitos X 21 U SANTA REYES 21 Und,19900,21,947.62,Und,lacteos-huevos-y-refrigerados
SKETOS,Queso Cottage Natural SKETOS 500 Gr,19100,500,38.2,gr,lacteos-huevos-y-refrigerados
SANTA ANITA,Huevo X 24 Unds Rojo Aa Disney SANTA ANITA 24 Und,18900,24,787.5,Und,lacteos-huevos-y-refrigerados
AVINAL,Huevo 24Und Rojo Aa AVINAL 24 Und,19100,24,795.83,Und,lacteos-huevos-y-refrigerados
SUPERIOR,Mantequilla Con Sal X 400 Gr,17100,400,42.75,gr,lacteos-huevos-y-refrigerados
SANTA REYES,Huevo 12Und Blanco A SANTA REYES 12 Und,10100,12,841.67,Und,lacteos-huevos-y-refrigerados
LA FLORIDA,Queso Tipo Mozarella 16 Taja LA FLORIDA 400 Gr,19300,400,48.25,gr,lacteos-huevos-y-refrigerados
ALPINA,Beb Lactea C/Avena Fourpack ALPINA 1120 Ml,15600,1120,13.93,ML,lacteos-huevos-y-refrigerados
PORCHI,BUTIFARRA PORCHI 500 Gr,11000,500,22,gr,lacteos-huevos-y-refrigerados
SM,HAMBURGUESA FRIJOL Y QUESO MOZ 240 Gr,15300,240,63.75,gr,lacteos-huevos-y-refrigerados
SM,MIX DE MINI HAMBURGUESA 300 300 Gr,13100,300,43.67,gr,lacteos-huevos-y-refrigerados
PORCHI,Jamon Premium PORCHI 450 Gr,20400,450,45.33,gr,lacteos-huevos-y-refrigerados
DON MAIZ,Deditos De Yuca Con Arequipe DON MAIZ 180 Gr,11700,180,65,gr,lacteos-huevos-y-refrigerados
TAPIOKA,Yogurt Natural Sin Azucar X 200 Gr,3100,200,15.5,gr,lacteos-huevos-y-refrigerados
BLUE BAND,Margarina Con Sal BLUE BAND 500 Gr,9600,500,19.2,gr,lacteos-huevos-y-refrigerados
BLUE BAND,Esparcible C/Sal Mesa Y Cocina BLUE BAND 440 Gr,9600,440,21.82,gr,lacteos-huevos-y-refrigerados
TAEQ,Yogurt Griego Melocoton TAEQ 143 Ml,5200,143,36.36,ML,lacteos-huevos-y-refrigerados
CUNIT,Jamon CUNIT 400 Gr,10100,400,25.25,gr,lacteos-huevos-y-refrigerados
RAMA,Esparcible C/Sal Multiusos RAMA 220 Gr,5400,220,24.55,gr,lacteos-huevos-y-refrigerados
BON YURT,Alimento Lacteo Chips Vainilla BON YURT 180 Gr,4300,180,23.89,gr,lacteos-huevos-y-refrigerados
FRESCAMPO,Arepa Con Queso FRESCAMPO 400 Gr,4400,400,11,gr,lacteos-huevos-y-refrigerados
FRESCAMPO,Margarina Soya Con Sal FRESCAMPO 250 Gr,6800,250,27.2,gr,lacteos-huevos-y-refrigerados
ENFAGROW,Formula Crecimiento ENFAGROW 1650 Gr,111000,1650,67.27,gr,lacteos-huevos-y-refrigerados
MEMBERS SELECTION,Leche Almendras Sabor Vainilla,0,null,0,null,lacteos-huevos-y-refrigerados
SIMILAC,Form Materna 3Kid Prosensitive SIMILAC 850 Gr,82500,850,97.06,gr,lacteos-huevos-y-refrigerados
JAPPI,Carne Molida Vegetal JAPPI 280 Gr,25100,280,89.64,gr,lacteos-huevos-y-refrigerados
KIRKLAND SIGNATURE,Mantequilla Cremosa Almendras,0,null,0,null,lacteos-huevos-y-refrigerados
GRANJERA,Leche Semides Larga Vida Sixpack GRANJERA 6600 Ml,27500,6595,4.17,ML,lacteos-huevos-y-refrigerados
KLIM,Alimento Lacteo Forticrece KLIM 420 Gr,23200,420,55.24,gr,lacteos-huevos-y-refrigerados
BENECOL,YOGURT PACK SURTIDO X 8 UNDS BENECOL 758.481 Ml,22500,759,29.66,ML,lacteos-huevos-y-refrigerados
SLIGHT,Leche En Polvo Descremada SLIGHT 380 Gr,17500,380,46.05,gr,lacteos-huevos-y-refrigerados
PROMOCION,Claras De Huevo En Polvo PROMOCION 250 Gr,28880,250,115.52,gr,lacteos-huevos-y-refrigerados
SLIGHT,Lech Uht Descre Sligh Tetr Six SLIGHT 6000 Ml,36800,6003,6.13,ML,lacteos-huevos-y-refrigerados
SKETOS,Yogurt Griego Natural Entero SKETOS 433 Ml,22300,433,51.5,ML,lacteos-huevos-y-refrigerados
EL DIA QUE ME QUIERAS,SALCHICHA PARRILLERA EL DIA QUE ME QUIERAS 500 Gr,27800,500,55.6,gr,lacteos-huevos-y-refrigerados
PORCHI,Chuleta Ahumada PORCHI 450 Gr,30320,450,67.38,gr,lacteos-huevos-y-refrigerados
PORCHI,Jamon Supreme Seleccionado PORCHI 450 Gr,18800,450,41.78,gr,lacteos-huevos-y-refrigerados
EL RODEO,Leche En Polvo EL RODEO 375 Gr,15900,375,42.4,gr,lacteos-huevos-y-refrigerados
ALCANZA,Queso De Cabra Alcanza Manchego X 110 Gr,21700,110,197.27,gr,lacteos-huevos-y-refrigerados
TAEQ,Yogurt Grie Fruto Tropicalesx3 TAEQ 429 Ml,18400,429,42.89,ML,lacteos-huevos-y-refrigerados
ZORBA,YOGURT GRIEGO ARANDANOS ZORBA 128.694 Ml,8100,129,62.94,ML,lacteos-huevos-y-refrigerados
HIKI,Leche Condensad Polvo S/Azucar Hiki 250 Gr,18300,250,73.2,gr,lacteos-huevos-y-refrigerados
CAMPI,ESPARCIBLE PAISA CAMPI 500 Gr,13700,500,27.4,gr,lacteos-huevos-y-refrigerados
PORCHI,OF SALCHICHA ESPECIAL PORCHI 625 Gr,17200,625,27.52,gr,lacteos-huevos-y-refrigerados
FARAH,Hummus De Garbanzos FARAH 260 Gr,12400,260,47.69,gr,lacteos-huevos-y-refrigerados
CARULLA,&Chorizo De Ternera CARULLA 500 Gr,16100,500,32.2,gr,lacteos-huevos-y-refrigerados
COOLECHERA,Yogurt Dulce Botella COOLECHERA 1013 Ml,11400,1013,11.25,ML,lacteos-huevos-y-refrigerados
PORCHI,Chorizo De Ternera PORCHI 500 Gr,16100,500,32.2,gr,lacteos-huevos-y-refrigerados
SM,HAMBURGUESA DE GARBANZO 240 GR 240 Gr,9900,240,41.25,gr,lacteos-huevos-y-refrigerados
MILO,Leche Choco Menos Azucar MILO 180 Ml,2170,180,12.06,ML,lacteos-huevos-y-refrigerados
AVINAL,Huevo 12Und Rojo A AVINAL 12 Und,9600,12,800,Und,lacteos-huevos-y-refrigerados
EL ZARZAL,Queso Crema Untable EL ZARZAL 380 Gr,9500,380,25,gr,lacteos-huevos-y-refrigerados
ZORBA,YOGURT GRIEGO FRUTOS MORADOS ZORBA 128.694 Ml,8800,129,68.38,ML,lacteos-huevos-y-refrigerados
SM,HAMBURGUESA DE FRIJOL 240 GR 0.24 Gr,0,null,0,null,lacteos-huevos-y-refrigerados
