marca,nombre_producto,precio,cantidad,precio_unidad,unidad,seccion
DORIA,Pasta Clásica Tornillos X 250 Gr,2400,250,9.6,gr,despensa
DIETY,GELATINA UVA CAJA DIETY 13 Gr,2400,13,184.62,gr,despensa
NESCAFE DOLCE GUSTO,Capsulas De Capuchino Skinny NESCAFE DOLCE GUSTO 161 Gr,33000,161,204.97,gr,despensa
MESA DE LOS SANTOS,Café Tostado En Grano 454,39700,454,87.44,gr,despensa
CARBONELL MARCA EXCLUSIVA,ACEITE DE OLIVA EXTRAVIRGEN CARBONELL MARCA EXCLUSIVA 750 Ml,49100,750,65.47,ML,despensa
AMIRA,Granola Almendras Frutas AMIRA 450 Gr,39600,450,88,gr,despensa
PAM,Aceite De Canola Pam Original Spray X 170 Ml,36100,170,212.35,ML,despensa
ROA,Arroz Blanco X5000G ROA 5000 Gr,24300,5000,4.86,gr,despensa
WHY NOT,Harina De Almendra WHY NOT 250 Gr,27000,250,108,gr,despensa
CHOCO KRISPIS,Cereal Arroz Chocolate CHOCO KRISPIS 630 Gr,27400,630,43.49,gr,despensa
CAFE QUINDIO,Café Gourmet Molido X 250 G,22300,250,89.2,gr,despensa
FROOT LOOPS,CEREAL EN AROS FRUTAL FROOT LOOPS 450 Gr,25100,450,55.78,gr,despensa
NESCAFE,Cafe Descafeinado Decaf NESCAFE 100 Gr,12800,100,128,gr,despensa
LA CORUNA,Brevas En Almibar Frasco LA CORUNA 560 Gr,12350,320,38.59,gr,despensa
EL CORTE INGLÉS MARCA EXCLUSIV,Tomate Frito Con Aceite Oliva EL CORTE INGLÉS MARCA EXCLUSIV 350 Gr,12900,350,36.86,gr,despensa
ARROZ SONORA PREMIUM,Arroz Premium ARROZ SONORA PREMIUM 2500 Gr,18800,2500,7.52,gr,despensa
SAN JORGE,Maiz Tierno SAN JORGE 600 Gr,13200,360,36.67,gr,despensa
LA CORUNA,DURAZNOS MITADES LA CORUNA 820 Gr,17200,480,35.83,gr,despensa
CRUZ,CHOCOLATE AMARGO CRUZ 250 Gr,7800,250,31.2,gr,despensa
EL CORTE INGLÉS MARCA EXCLUSIV,Sardinas Con Tomate EL CORTE INGLÉS MARCA EXCLUSIV 120 Gr,8415,87,96.72,gr,despensa
GIRONES,Chocolate Clavos Y Canela GIRONES 500 Gr,7400,500,14.8,gr,despensa
LUKER,Chocolate Clavos Canela Light LUKER 156.2 Gr,6900,156,44.17,gr,despensa
TAEQ,BARRA CEREAL X6U FRUTOS ROJOS TAEQ 120 Gr,7400,120,61.67,gr,despensa
ROA,Arroz Con Coco ROA 300 Gr,7900,300,26.33,gr,despensa
GAROFALO,Pasta Orzo Garofalo 500 Gr,10000,500,20,gr,despensa
COLCAFE,Vainilla COLCAFE 50 Gr,7900,50,158,gr,despensa
SALTIN NOEL,GALLETAS SODA X 2 TACOS SALTIN NOEL 200 Gr,4480,200,22.4,gr,despensa
KISKA,Condimento Guascas X 7 G,3800,7,542.86,gr,despensa
HAZ DE OROS,HARINA DE TRIGO HAZ DE OROS 500 Gr,4100,500,8.2,gr,despensa
AMOR PERFECTO,Café Molido Gourmet AMOR PERFECTO 350 Gr,32900,350,94,gr,despensa
LIPTON,TE YELLOW 100 SOBR LABEL LIPTON 200 Gr,41500,200,207.5,gr,despensa
CASTELLANO,Arroz Blanco CASTELLANO 4 Gr,45400,4000,11.35,gr,despensa
GOURMET,Aceites Vegetales Familia GOURMET 3600 Ml,76100,3600,21.14,ML,despensa
AMOR PERFECTO,Bolsa Cafe Huila Molido,33900,350,96.86,gr,despensa
NEW COLONY,Cafe Tostado Y Molido Descafeinado X 400 G,22800,400,57,gr,despensa
GOURMET,Aceite Canola Line GOURMET 900 Ml,29800,900,33.11,ML,despensa
SERPIS,Aceituna Queso Manchego SERPIS 300 Gr,27600,130,212.31,gr,despensa
COLCAFE,Cafe Todo En Uno Light COLCAFE 280 Gr,19400,280,69.29,gr,despensa
CASTELLANO,Arroz Risotto CASTELLANO 500 Gr,19900,500,39.8,gr,despensa
