marca,nombre_producto,precio,cantidad,precio_unidad,unidad,seccion
CORONA,CHOCOLATE CON AZUCAR CORONA 250 gr,3784,250,15.14,gr,despensa
POSTOBON,Bebida Gaseosa Surtida POSTOBON 7.75 ml,14150,8,1825.81,ML,despensa
IN CAUCA LIGHT,Azucar Light Blanca Bolsa IN CAUCA LIGHT 850 gr,6850,850,8.06,gr,despensa
FLIPS,CEREAL CHOCOLATE FLIPS 320 gr,16500,320,51.56,gr,despensa
REFISAL,Sal Dietetica REFISAL 120 gr,4610,120,38.42,gr,despensa
EXITO MARCA PROPIA,Cafe Instantaneo Granulado EXITO MARCA PROPIA 170 gr,19000,170,111.76,gr,despensa
CHOCOLYNE,Chocolate Clavos Y Canela CHOCOLYNE 166.4 gr,6912,166,41.54,gr,despensa
LA CONSTANCIA,Salsa BBQ Doypack LA CONSTANCIA 400 gr,8250,400,20.63,gr,despensa
TAEQ,SALSA SOYA LIGHT TAEQ 255 gr,6890,255,27.02,gr,despensa
POSTOBON,ACQUA FRUTOS ROJOS POSTOBON 1500 ml,4140,1500,2.76,ML,despensa
COCA COLA,BEBIDA GASEOSA ORIGINAL MED COCA COLA 2500 ml,6740,2496,2.7,ML,despensa
LA CONSTANCIA,SALSA CON MOSTAZA LA CONSTANCIA 400 gr,10500,400,26.25,gr,despensa
EXITO MARCA PROPIA,Azucar Morena EXITO MARCA PROPIA 5000 gr,25000,5000,5,gr,despensa
INSTACREM,Caja En Sobres INSTACREM 144 gr,6040,144,41.94,gr,despensa
